Name,Unnamed: 0,20 Yard Shuttle,40 Yard Dash,60 Yard Shuttle,Arm Length,Bench Press,Broad Jump,College,Grade,Hands,Height,Position,Three Cone Drill,Vertical Jump,Weight,Wonderlic,Year,SnapsPlayed
Brodrick Bunkley,2709,0,5.01,,0,44,113,Florida State,0,0,75,DT,0,32.5,306,0,2006,
Brody Eldridge,1642,0,4.72,,32.5,0,0,Oklahoma,0,9.625,77,TE,0,31.5,261,0,2010,
Bronson Kaufusi,200,4.25,4.87,,34.5,25,111,BYU,5.55,9.75,78,DE,7.03,30,285,,2016,
Brooks Ellis,256,4.25,4.79,11.28,31.75,18,115,Arkansas,4.92,9.75,74,ILB,6.8,29.5,240,,2017,
Brooks Foster,1935,0,4.45,,32,27,0,North Carolina,0,9.625,73,WR,0,0,201,0,2009,
Brooks Reed,1470,4.28,4.65,,32.25,30,113,Arizona,0,10,75,OLB,0,30.5,263,0,2011,
Bruce Branch,3805,4.47,4.53,,0,0,119,,0,0,71,CB,0,35,192,0,2002,
Bruce Campbell,1601,4.69,4.75,,36.25,34,101,Maryland,0,10.5,79,OT,0,32,314,0,2010,
Bruce Carter,1300,0,4.57,,32.625,25,0,North Carolina,0,9.25,74,OLB,0,0,241,0,2011,2312
Bruce Davis,2192,4.47,4.78,,0,19,109,UCLA,0,0,75,OLB,0,29,252,0,2008,
Bruce Ellington,403,3.95,4.45,,0,15,120,South Carolina,5.4,0,69,WR,6.69,39.5,197,0,2014,712
Bruce Eugene,2740,4.78,5.12,,0,0,94,,0,0,73,QB,0,27.5,260,41,2006,
Bruce Gradkowski,2749,4.16,4.59,,0,0,107,Toledo,0,0,74,QB,0,34,217,19,2006,
Bruce Irvin,1075,4.03,4.5,,33.375,23,123,West Virginia,0,9.625,74,OLB,6.7,33,245,0,2012,
Bruce Johnson,1980,4.05,4.49,,0,6,125,,0,0,70,CB,0,34.5,170,0,2009,
Bruce Miller,1435,4.34,4.81,,30.25,35,113,UCF,0,9,73,OLB,0,31,254,0,2011,1429
Bruce Nelson,3678,0,5.26,,0,21,0,Iowa,0,0,77,OC,0,0,301,0,2003,
Bruce Taylor,892,4.39,5.01,,33.125,19,115,,0,10.375,73,OLB,7.21,30.5,237,0,2013,
Bruce Thornton,3475,0,4.5,,0,0,122,Georgia,0,0,71,CB,0,37.5,197,0,2004,
Bryan Bennett,19,4.2,4.81,,0,0,125,Southeastern Louisiana,0,0,74,QB,7.13,37,211,0,2015,
Bryan Bulaga,1594,4.75,5.2,,33.25,26,98,Iowa,0,9.25,78,OT,0,27.5,314,0,2010,
Bryan Cox Jr,213,4.46,4.89,,33.75,16,109,Florida,5.39,9.5,75,DE,7.36,26.5,265,,2017,
Bryan Hickman,3346,4.04,4.68,,0,26,106,,0,0,73,OLB,0,32.5,231,0,2004,
Bryan Jones,4741,4.28,4.61,,0,12,118,Oregon State,0,0,76,OLB,0,35,210,0,1999,
Bryan Kehl,2278,4.23,4.67,,0,26,119,Brigham Young,0,0,74,OLB,0,34,242,0,2008,
Bryan Mattison,2296,4.7,5.05,,0,26,112,,0,0,75,DE,0,24.5,290,0,2008,
Bryan Randall,3173,4.09,4.71,,0,0,113,,0,0,73,QB,0,33,225,19,2005,
Bryan Scott,3713,0,4.6,,0,13,0,Penn State,0,0,73,SS,0,0,219,0,2003,590
Bryan Smith,2360,4.4,4.74,,0,17,120,McNeese State,0,0,75,OLB,0,32.5,231,0,2008,
Bryan Stork,610,0,0,,0,0,0,Florida St.,5.2,0,76,C,0,0,315,0,2014,
Bryan Thomas,4015,0,4.47,,0,33,0,UAB,0,0,77,DE,0,34.5,266,0,2002,372
Bryant McFadden,3131,4.04,4.53,,0,23,0,Florida State,0,0,71,CB,0,38.5,193,0,2005,
Bryant McNeal,3667,0,4.88,,0,22,117,Clemson,0,0,77,DE,0,34.5,248,0,2003,
Bryce Fisher,4670,4.34,5,,0,19,106,Air Force,0,0,76,DE,0,31,283,0,1999,
Bryce Hager,136,4.36,4.6,,0,26,117,Baylor,5.1,0,73,ILB,7.15,35,234,0,2015,
Bryce Petty,236,4.13,4.87,,0,0,121,Baylor,5.3,0,75,QB,6.91,34,230,0,2015,464
Bryce Williams,98,4.53,4.94,12.03,33.625,19,111,East Carolina,5.24,9.625,78,TE,7.19,29.5,257,,2016,
Bryn Renner,571,4.3,4.87,,0,0,108,North Carolina,5.1,0,75,QB,7.22,25.5,228,0,2014,
Bucky Hodges,109,4.45,4.57,12.08,32.5,18,134,Virginia Tech,5.93,10.125,78,TE,,39,257,,2017,
Bud Dupree,92,0,4.56,,0,0,138,Kentucky,5.9,0,76,OLB,0,42,269,0,2015,2057
Budda Baker,269,4.08,4.45,,30.75,15,115,Washington,5.86,9,70,S,6.76,32.5,195,,2017,1029
Bug Howard,99,4.14,4.58,11.75,33.125,,119,North Carolina,4.9,10.375,76,WR,6.95,37.5,221,,2017,
Buster Davis,2467,4.37,4.64,,0,24,104,Florida State,0,0,70,ILB,0,31,239,0,2007,
Buster Skrine,1501,3.9,4.37,,30.25,20,122,Chattanooga,0,8.875,70,CB,0,37,186,0,2011,5654
Byron Frisch,4388,4.41,4.73,,0,31,114,Brigham Young,0,0,77,DE,0,34.5,281,0,2000,
Byron Hardmon,3598,4.41,4.76,,0,17,115,,0,0,73,ILB,0,32.5,232,0,2003,
Byron Jones,175,3.94,0,,0,0,147,Connecticut,5.3,0,73,CB,6.78,44.5,199,0,2015,3148
Byron Leftwich,3643,0,5.1,,0,0,0,Marshall,0,0,78,QB,0,0,241,25,2003,104
Byron Marshall,75,,,,30.25,17,,Oregon,5.16,9.5,69,WR,,,201,,2016,75
Byron Maxwell,1428,0,4.43,,33.5,24,124,Clemson,0,9.5,73,CB,0,33,202,0,2011,3523
CJ Anderson,662,4.12,4.6,,30,17,119,,0,9,68,RB,7.15,32,224,0,2013,
CJ Beathard,9,,,,30.625,,113,Iowa,5.05,9.375,74,QB,,31,219,,2017,
CJ Brooks,2988,4.59,5.18,,0,24,108,,0,0,78,OG,0,31.5,309,0,2005,
CJ Davis,1910,4.93,5.51,,0,21,88,,0,0,74,OG,0,25.5,308,0,2009,
CJ Fiedorowicz,414,4.26,4.76,,0,25,116,Iowa,5.5,0,77,TE,7.1,31.5,265,0,2014,
CJ Gaddis,2485,4.3,4.45,,0,20,121,Clemson,0,0,73,FS,0,36.5,203,0,2007,
CJ Johnson,235,4.52,4.81,,32.75,,,Ole Miss,5.05,8.875,73,ILB,,,234,,2016,
CJ McLain,4792,4.25,4.72,,0,21,117,,0,0,75,OLB,0,36,243,0,1999,
CJ Mosley,540,4.4,0,,0,0,118,Alabama,6.5,0,74,ILB,7.3,35,234,0,2014,
CJ Mosley,3147,4.65,5.08,,0,27,100,Missouri,0,0,74,DT,0,27.5,312,0,2005,
CJ Prosise,26,,4.48,,32.125,,121,Notre Dame,5.55,8.5,72,RB,,35.5,220,,2016,
CJ Spiller,1794,0,4.27,,30.5,18,0,Clemson,0,10.125,71,RB,0,0,196,10,2010,
CJ Spillman,2094,4.33,4.45,,0,0,122,,0,0,73,FS,0,41.5,197,0,2009,
CJ Wilson,1838,4.77,4.83,,33.125,32,116,East Carolina,0,10,75,DE,0,33,290,0,2010,
CJ Wilson,2665,4.2,4.62,,0,0,127,Baylor,0,0,73,CB,0,37.5,195,0,2007,
CJ Ah You,2408,4.4,4.7,,0,26,108,,0,0,76,DE,0,36.5,274,0,2007,
Cade McNown,4795,4.28,4.73,,0,0,113,UCLA,0,0,73,QB,0,33.5,213,28,1999,
Cairo Santos,585,0,0,,0,0,0,Tulane,5.1,0,68,K,0,0,164,0,2014,
Calais Campbell,2174,4.69,5.04,,0,16,111,Miami (FL),0,0,80,DE,0,29.5,290,0,2008,
Caleb Benenoch,146,5.11,4.98,,,,104,UCLA,5.15,,77,OT,8.15,,305,,2016,
Caleb Brantley,177,4.62,5.14,,32,21,105,Florida,6.31,9.75,75,DT,7.66,27,307,,2017,
Caleb Campbell,2175,0,4.57,,0,24,0,Army,0,0,74,SS,0,0,229,0,2008,
Caleb McSurdy,1137,4.28,4.97,,30.875,26,90,Montana,0,9.375,73,ILB,7.26,30,245,0,2012,
Caleb Miller,3393,3.95,4.66,,0,23,120,Arkansas,0,0,75,ILB,0,34.5,224,0,2004,
Calvin Armstrong,2962,4.66,5.51,,0,26,100,Washington State,0,0,79,OT,0,34,325,0,2005,
Calvin Johnson,2523,0,4.35,,33.375,0,139,Georgia Tech,0,9.25,77,WR,0,42.5,239,0,2007,3743
Calvin Lowry,2815,4.23,4.54,,0,15,120,Penn State,0,0,71,SS,0,36,200,0,2006,
Calvin Pace,3685,0,4.79,,0,0,115,Wake Forest,0,0,76,DE,0,33,269,0,2003,3224
Calvin Pryor,562,0,4.58,,0,18,116,Louisville,6.2,0,71,FS,0,34.5,207,0,2014,2208
Cam Johnson,1086,4.38,4.81,,33.5,0,105,Virginia,0,9,75,DE,7.2,35,268,0,2012,
Cam Newton,1448,4.18,4.56,,33.75,0,126,Auburn,0,9.875,77,QB,6.92,35,248,21,2011,6455
Cam Robinson,126,4.82,5.15,,35.5,,106,Alabama,6.16,10.5,78,OT,7.81,26,322,,2017,
Cam Thomas,1806,4.78,5.16,,34.75,31,102,North Carolina,0,10.5,76,DT,0,29,330,0,2010,
Cam Worthy,318,0,0,,0,12,0,East Carolina,5,0,74,WR,0,0,211,0,2015,
Cameron Artis-Payne,12,0,4.53,,0,0,118,Auburn,5.4,0,70,RB,7.13,36.5,212,0,2015,84
Cameron Clear,49,4.48,4.98,,0,0,108,Texas A&M,4.8,0,77,TE,0,32,277,0,2015,
Cameron Erving,98,4.63,5.15,,0,30,112,Florida St.,5.8,0,77,C,7.48,30.5,313,0,2015,
Cameron Fleming,416,5,5.28,,0,26,97,Stanford,5.2,0,77,OT,8.24,23.5,323,0,2014,
Cameron Graham,1347,4.51,5,,31.5,18,105,,0,9.625,75,TE,0,31,244,0,2011,
Cameron Heyward,1366,0,4.92,,34.25,0,0,Ohio State,0,10.125,77,DE,0,30,294,0,2011,
Cameron Johnston,323,,4.92,,31,,,Ohio State,4.98,9,71,P,,,194,,2017,
Cameron Jordan,1397,4.37,4.74,,35,25,117,California,0,11.125,76,DE,0,31,287,0,2011,
Cameron Lee,156,4.75,5.44,,33.875,18,100,Illinois State,5.28,10.875,77,OG,8.02,25.5,312,,2017,
Cameron Morrah,2039,4.36,4.65,,0,24,115,California,0,0,76,TE,0,32.5,244,0,2009,
Cameron Sheffield,1785,4.53,4.92,,33,0,115,Troy,0,10,75,OLB,0,33,257,0,2010,
Cameron Spikes,4882,4.36,5,,0,23,117,Texas A&M,0,0,75,OG,0,32.5,314,0,1999,
Cameron Stephenson,2629,4.81,5.4,,0,34,101,Rutgers,0,0,75,OG,0,28.5,306,0,2007,
Cameron Sutton,280,,4.52,,30,11,120,Tennessee,5.77,8.25,71,CB,6.81,34,188,,2017,307
Cameron Vaughn,2924,4.23,4.65,,0,17,117,,0,0,76,OLB,0,32,235,0,2006,
Cameron Wake,3220,4.13,4.65,,0,20,130,,0,0,75,OLB,0,45.5,236,0,2005,
Captain Munnerlyn,2041,4.2,4.51,,0,19,121,South Carolina,0,0,69,CB,0,37.5,182,0,2009,4893
Caraun Reid,569,0,4.91,,0,20,106,Princeton,5.2,0,74,DT,7.59,26.5,302,0,2014,
Cardale Jones,6,,4.81,,33.75,,,Ohio State,5.44,9.75,77,QB,,36,253,,2016,
Carey Scott,4248,4.18,4.65,,0,0,113,Kentucky State,0,0,71,CB,0,30,208,0,2001,
Carl  Bradford,352,4.3,4.76,,0,23,122,Arizona State,5.3,0,73,OLB,7.25,37.5,250,0,2014,
Carl Davis,72,4.47,5.07,,0,0,103,Iowa,5.9,0,77,DT,7.91,33,320,0,2015,
Carl Ihenacho,1678,0,4.86,,33.5,20,0,,0,8.875,75,OLB,0,0,245,0,2010,
Carl Johnson,1390,5.03,5.4,,36.5,25,96,,0,10.25,77,OG,0,25.5,361,0,2011,
Carl Lawson,185,4.19,4.67,,31.5,35,114,Auburn,5.75,10.375,74,DE,7.46,33,261,,2017,
Carl Nassib,196,4.37,4.84,,34.5,21,114,Penn State,5.61,10.375,79,DE,7.27,28.5,277,,2016,
Carl Nesmith,4214,0,4.95,,0,5,112,,0,0,74,FS,0,31.5,223,0,2001,
Carl Nicks,2317,4.68,5.22,,0,31,109,Nebraska,0,0,77,OT,0,25.5,341,0,2008,
Carl Stewart,2368,4.5,4.66,,0,30,134,,0,0,73,FB,0,39,230,0,2008,
Carlos Dunlap,1638,4.61,4.68,,34.625,21,111,Florida,0,10,78,DE,7.21,31.5,278,0,2010,
Carlos Francis,3326,4.06,4.33,,0,0,114,Texas Tech,0,0,69,WR,0,38.5,198,0,2004,
Carlos Hall,3882,4.19,4.67,,0,20,129,Arkansas,0,0,76,DE,0,40,259,0,2002,
Carlos Henderson,67,4.35,4.46,11.79,31.375,13,131,Louisiana Tech,5.49,9.125,71,WR,7.18,36,199,,2017,
Carlos Hyde,460,0,4.66,,0,19,114,Ohio St.,6.2,0,72,RB,0,34.5,230,0,2014,2146
Carlos Joseph,3365,0,5.25,,0,29,0,Miami (FL),0,0,78,OT,0,0,345,0,2004,
Carlos Nuno,4490,0,5.03,,0,23,0,,0,0,76,TE,0,28,263,0,2000,
Carlos Polk,4229,0,4.76,,0,0,0,Nebraska,0,0,74,ILB,0,0,251,0,2001,
Carlos Rogers,3185,3.82,4.44,,0,15,126,Auburn,0,0,73,CB,6.48,40.5,196,0,2005,2544
Carlos Watkins,199,,,,34.625,25,,Clemson,5.57,10.375,75,DT,,,309,,2017,
Carlton Mitchell,1735,4.55,4.46,,33.5,16,122,South Florida,0,10.625,75,WR,6.96,36,215,0,2010,
Carlton Powell,2330,4.87,5.1,,0,23,108,Virginia Tech,0,0,74,DT,0,22.5,292,0,2008,
Carnell Williams,3232,4.17,4.43,,0,19,118,Auburn,0,0,71,RB,0,35.5,217,0,2005,
Carroll Phillips,211,4.37,4.64,,33,23,123,Illinois,5.4,9.75,75,DE,7.06,30,242,,2017,
Carson Palmer,3687,0,4.65,,0,0,0,USC,0,0,77,QB,0,0,232,26,2003,4988
Carson Wentz,2,,4.77,,33.25,,118,North Dakota State,6.23,10,77,QB,6.86,30.5,237,,2016,2296
Cary Harris,1954,0,4.58,,0,18,0,USC,0,0,73,CB,0,0,187,0,2009,
Case Keenum,1102,0,4.82,,30.875,0,103,,0,9.125,73,QB,0,32.5,208,0,2012,3003
Casey Crawford,4366,0,4.83,,0,18,0,,0,0,78,TE,0,0,244,0,2000,
Casey Hampton,4135,0,5.25,,0,34,0,Texas,0,0,73,DT,0,0,314,0,2001,
Casey Hayward,1059,3.9,4.57,,0,19,119,Vanderbilt,0,0,71,CB,6.76,34,185,0,2012,4470
Casey Matthews,1426,0,4.78,,31.5,13,0,Oregon,0,8.5,73,ILB,0,0,231,0,2011,434
Casey Moore,3671,4.26,4.65,,0,22,114,Stanford,0,0,74,FB,0,32.5,240,0,2003,
Casey Rabach,4232,0,5.23,,0,19,0,Wisconsin,0,0,77,OC,0,34.5,298,0,2001,
Cassanova McKinzy,234,,,,31.25,21,,Auburn,5.09,9.875,73,ILB,,,248,,2016,
Cassius Marsh,516,0,4.89,,0,14,108,UCLA,5.4,0,76,DE,7.08,32,252,0,2014,
Cato June,3629,0,4.61,,0,0,113,Michigan,0,0,73,SS,0,35,218,0,2003,
Cayleb Jones,82,4.14,4.65,11.46,32.75,9,,Arizona,4.97,9.25,75,WR,6.99,33.5,209,,2016,
Cecil Collins,4625,0,4.51,,0,17,117,McNeese State,0,0,69,RB,0,33,209,0,1999,
Cecil Martin,4779,4.22,4.83,,0,22,110,Wisconsin,0,0,73,FB,0,35.5,239,0,1999,
Cecil Shorts,1498,4.07,4.5,,31.625,21,114,Mount Union,0,9.25,73,WR,6.5,34.5,205,0,2011,2977
Cedric Cobbs,3285,0,4.75,,0,0,123,Arkansas,0,0,73,RB,0,40,223,0,2004,
Cedric Griffin,2753,4.1,4.51,,0,17,125,Texas,0,0,73,FS,0,35.5,199,0,2006,353
Cedric Hilliard,3348,4.79,5.17,,0,26,110,,0,0,73,DT,0,29,307,0,2004,
Cedric Humes,2780,4.23,4.62,,0,18,106,Virginia Tech,0,0,73,RB,0,30.5,227,0,2006,
Cedric James,4161,0,4.49,,0,0,134,TCU,0,0,74.25,WR,0,43,204,0,2001,
Cedric Ogbuehi,225,0,0,,0,23,0,Texas A&M,5.9,0,77,OT,0,0,306,0,2015,
Cedric Peerman,2060,4.29,4.34,,0,27,117,Virginia,0,0,70,RB,0,40,216,0,2009,
Cedric Pittman,4496,4.52,4.9,,0,20,111,,0,0,75,OLB,0,30.5,261,0,2000,
Cedric Reed,248,0,0,,0,22,0,Texas,5.2,0,77,DE,0,0,269,0,2015,
Cedric Scott,4249,4.37,4.86,,0,23,107,Southern Miss,0,0,78,DE,0,35.5,281,0,2001,
Cedric Thornton,1526,4.71,5.25,,33.625,23,101,,0,10,75,DT,0,27,309,0,2011,
Cedric Woodard,4565,0,5.21,,0,23,109,Texas,0,0,75,DT,0,30.5,290,0,2000,
Cedrick Williams,3233,4.22,4.5,,0,13,121,,0,0,70,CB,0,35,168,0,2005,
Cedrick Wilson,4306,0,4.48,,0,0,123,Tennessee,0,0,70,WR,0,38,179,0,2001,
Cethan Carter,124,,4.68,,32.375,19,,Nebraska,4.9,9,75,TE,,,241,,2017,
Chad Beasley,3795,4.6,5.15,,0,27,104,Virginia Tech,0,0,78,DT,0,31.5,303,0,2002,
Chad Clifton,4355,4.73,5.05,,0,24,102,Tennessee,0,0,77,OT,0,30.5,334,0,2000,
Chad Greenway,2752,4.22,4.76,,0,16,117,Iowa,0,0,75,OLB,0,33.5,242,0,2006,4072
Chad Hamilton,139,0,0,,0,0,0,Coastal Carolina,5.2,0,74,C,0,0,292,0,2015,
Chad Hansen,52,4.13,4.53,,32.125,11,119,California,5.84,10.125,74,WR,6.74,35,202,,2017,342
Chad Henne,2250,4.4,4.92,,0,0,106,Michigan,0,0,75,QB,0,25.5,230,22,2008,1585
Chad Jackson,2783,4.03,4.32,,0,0,122,Florida,0,0,73,WR,0,38.5,213,0,2006,
Chad Johnson,4167,4.14,4.57,,0,0,108,Oregon State,0,0,73,WR,0,33,192,0,2001,
Chad Jones,1692,4.14,4.59,,32.5,9,115,LSU,0,9,74,SS,0,36,221,0,2010,
Chad Kelsay,4753,4.3,4.94,,0,22,116,Nebraska,0,0,75,OLB,0,35.5,254,0,1999,
Chad Morton,4486,0,4.5,,0,18,121,USC,0,0,68,RB,0,36,182,0,2000,
Chad Nkang,2571,4.34,4.52,,0,23,118,Elon,0,0,73,SS,0,36.5,220,0,2007,
Chad Owens,3157,3.95,4.62,,0,23,116,Hawaii,0,0,68,WR,0,37,183,0,2005,
Chad Pegues,4833,4.69,5.31,,0,25,100,,0,0,73,DT,0,26,289,0,1999,
Chad Pennington,4494,4.16,4.81,,0,0,111,Marshall,0,0,76,QB,0,33.5,229,25,2000,
Chad Plummer,4838,4.18,4.57,,0,0,113,Cincinnati,0,0,75,WR,0,33,233,0,1999,
Chad Pugh,3421,4.92,5.38,,0,19,98,,0,0,75,DT,0,25,321,0,2004,
Chad Rinehart,2339,4.56,5.42,,0,26,106,Northern Iowa,0,0,77,OG,0,28.5,320,0,2008,
Chad Setterstrom,3716,4.66,5.44,,0,16,99,,0,0,75,OG,0,28.5,309,0,2003,
Chad Simpson,2356,0,4.4,,0,0,124,,0,0,69,RB,0,32.5,216,0,2008,
Chad Upshaw,2651,4.58,4.9,,0,16,108,,0,0,77,TE,0,33.5,252,0,2007,
Chad Ward,4291,4.89,5.23,,0,26,99,Washington,0,0,77,OG,0,32.5,321,0,2001,
Chad Wheeler,146,5.01,5.48,,33.125,15,105,USC,5.46,9.5,79,C,,20.5,306,,2017,
Chad Williams,4034,0,4.58,,0,20,121,Southern Miss,0,0,70,SS,0,36.5,207,0,2002,303
Champ Bailey,4575,3.79,4.28,,0,0,121,Georgia,0,0,73,CB,0,37,184,0,1999,1201
Chance Warmack,911,0,5.49,,34.75,0,110,Alabama,0,9.625,74,OG,0,0,317,0,2013,
Chandler Harnish,1054,4.15,4.76,,32.375,0,112,Northern Illinois,0,9.25,73,QB,6.78,32.5,219,0,2012,
Chandler Jones,1093,4.38,4.87,,35.5,22,120,Syracuse,0,9.75,77,DE,7.07,35,266,0,2012,
Chandler Williams,2661,4.29,4.42,,0,0,123,Florida International,0,0,71,WR,0,32.5,184,0,2007,
Channing Stribling,298,4.56,4.6,,31.5,5,114,Michigan,5.34,8.5,73,CB,6.94,31.5,188,,2017,
Chansi Stuckey,2634,4.14,4.56,,0,0,120,Clemson,0,0,71,WR,0,35,197,0,2007,
Charles Bennett,2693,4.53,4.7,,0,19,115,Clemson,0,0,76,DE,0,33.5,258,0,2006,
Charles Brown,980,4.06,4.63,,0,18,114,,0,0,69,CB,6.94,35,202,0,2012,
Charles Brown,1588,0,5.24,,35.25,21,0,USC,0,11.375,78,OT,0,31.5,303,0,2010,
Charles Clay,1309,4.15,4.69,,33,18,118,Tulsa,0,9.625,75,FB,0,33.5,245,0,2011,
Charles Davis,2725,4.37,4.87,,0,27,108,Purdue,0,0,78,TE,0,31.5,263,0,2006,
Charles Dorsey,4654,4.52,4.93,,0,24,112,,0,0,74,DT,0,31,283,0,1999,
Charles Drake,3569,0,4.52,,0,20,0,Michigan,0,0,73,FS,0,0,205,0,2003,
Charles Fisher,4671,4.16,4.49,,0,10,124,West Virginia,0,0,73,CB,0,38,182,0,1999,
Charles Frederick,3054,4.35,4.78,,0,0,108,,0,0,71,WR,0,33,194,0,2005,
Charles Gaines,112,4.2,4.44,,0,0,123,Louisville,5.5,0,70,CB,7.07,34.5,180,0,2015,263
Charles Godfrey,2224,4.4,4.43,,0,14,121,Iowa,0,0,73,CB,0,32.5,207,0,2008,1097
Charles Gordon,2748,4.23,4.6,,0,12,115,,0,0,70,CB,0,35.5,183,0,2006,
Charles Grant,3876,4.39,4.69,,0,24,118,Georgia,0,0,75,DE,0,31,282,0,2002,
Charles Harris,182,4.42,4.82,12.48,32.375,21,109,Missouri,6,9.625,75,DE,7.47,32,253,,2017,
Charles Hill,3900,4.36,5.06,,0,23,113,Maryland,0,0,74,DT,0,33.5,293,0,2002,
Charles Johnson,777,4.31,4.39,,30.5,14,133,Grand Valley State,0,9.25,74,WR,7.04,39.5,215,0,2013,847
Charles Johnson,2524,0,4.84,,0,33,118,Georgia,0,0,74,DE,0,34,270,0,2007,847
Charles Lee,4456,4.25,4.56,,0,0,125,UCF,0,0,74,WR,7.3,35.5,202,0,2000,
Charles Leno Jr,496,4.4,0,,0,21,108,Boise St.,5.2,0,76,OT,7.57,29,303,0,2014,
Charles Mitchell,1145,4.22,4.63,,0,19,127,Mississippi State,0,0,71,SS,6.93,37,202,0,2012,
Charles Scott,1781,4.47,4.68,,33,0,111,LSU,0,9.5,73,RB,0,30.5,238,26,2010,
Charles Sims,594,4.3,4.48,,0,17,126,West Virginia,5.4,0,72,RB,7.16,37.5,214,0,2014,1309
Charles Spencer,2908,0,5.25,,0,30,0,Pittsburgh,0,0,77,OG,0,0,352,0,2006,
Charles Stackhouse,4004,4.53,4.93,,0,20,111,,0,0,74,FB,0,29,252,0,2002,
Charles Tapper,204,,4.59,,34.375,23,119,Oklahoma,5.34,11.5,75,DE,,34,271,,2016,
Charles Tillman,3739,3.89,4.49,,0,12,131,Louisiana-Lafayette,0,0,73,CB,0,40,207,0,2003,2160
Charles Walker,200,4.96,4.96,,33.75,25,107,Oklahoma,5.56,9.625,74,DT,7.89,28,310,,2017,
Charlie Frye,3055,4.09,4.79,,0,0,113,Akron,0,0,76,QB,0,33,225,38,2005,
Charlie Gantt,1342,4.4,4.85,,32.625,27,112,,0,9.5,76,TE,0,30.5,252,0,2011,
Charlie Peprah,2870,4.1,4.66,,0,15,119,Alabama,0,0,71,SS,0,37.5,206,0,2006,180
Charlie Whitehurst,2940,4.12,4.75,,0,0,112,Clemson,0,0,77,QB,0,33,223,33,2006,400
Charlton Keith,2799,4.42,4.78,,0,12,109,,0,0,77,OLB,0,30.5,237,0,2006,
Charone Peake,51,4.46,4.45,11.69,34,12,122,Clemson,5.88,9.25,74,WR,6.96,35.5,209,,2016,323
Charron Dorsey,4108,0,6.03,,0,16,0,,0,0,78,OT,0,0,348,0,2001,
Chas Alecxih,947,4.62,5.41,,33.375,19,99,,0,10.375,76,DT,7.74,25,296,0,2012,
Chase Daniel,1909,4.31,4.79,,0,0,0,,0,0,73,QB,0,33,218,0,2009,167
Chase Holbrook,1965,4.65,5.12,,0,0,108,,0,0,76,QB,0,27,242,0,2009,
Chase Johnson,2525,4.7,5.41,,0,0,91,,0,0,81,OT,0,27,330,0,2007,
Chase Lyman,3122,0,4.5,,0,16,115,California,0,0,75,WR,0,36.5,217,0,2005,
Chase Minnifield,1144,0,0,,31.5,7,0,,0,9,70,CB,0,0,183,0,2012,
Chase Ortiz,2322,4.23,4.9,,0,24,108,,0,0,74,DE,0,29.5,249,0,2008,
Chase Raynock,4501,5,5.5,,0,22,94,,0,0,78,OT,0,25,308,0,2000,
Chase Roullier,147,4.47,5.54,,32.25,19,97,Wyoming,5.42,9.5,76,C,7.6,26.5,312,,2017,
Chase Thomas,897,4.31,4.91,,32.25,18,113,,0,9.625,75,OLB,7.17,32,244,0,2013,
Chaun Thompson,3738,4.22,4.58,,0,29,123,West Texas A&M,0,0,74,OLB,0,35.5,240,0,2003,
Chauncey Davis,3029,4.44,4.8,,0,22,118,Florida State,0,0,74,DE,0,37,273,0,2005,
Chauncey Stovall,3209,0,4.62,,0,0,0,,0,0,73,WR,0,0,221,0,2005,
Chaz Green,127,4.7,5.16,,0,21,106,Florida,5.1,0,77,OT,8,29.5,314,0,2015,
Chaz Powell,1174,4.16,4.53,,0,17,121,,0,0,72,CB,6.84,33,203,0,2012,
Chaz Williams,2662,0,4.68,,0,0,108,,0,0,71,CB,0,32.5,196,0,2007,
Chester Pitts,3978,4.81,5.22,,0,0,106,San Diego State,0,0,76,OT,0,30,320,0,2002,
Chester Taylor,4014,0,4.58,,0,22,114,Toledo,0,0,71,RB,0,33,213,0,2002,
Cheta Ozougwu,1452,4.31,4.84,,31,26,119,Rice,0,9.375,74,DE,0,34.5,247,0,2011,
Chevis Jackson,2262,4.15,4.52,,0,13,125,LSU,0,0,73,CB,0,36,192,0,2008,
Chidobe Awuzie,283,4.14,4.43,,30.625,16,132,Colorado,5.68,8.5,72,CB,6.81,34.5,202,,2017,605
Chijioke Onyenegecha,2863,0,4.55,,0,16,118,,0,0,74,CB,0,34.5,215,0,2006,
Chike Okeafor,4824,4.2,4.74,,0,17,118,Purdue,0,0,77,OLB,0,36.5,254,0,1999,
Chilo Rachal,2332,5.14,5.16,,0,28,108,USC,0,0,77,OG,0,25.5,315,0,2008,
Chimdi Chekwa,1307,0,4.38,,31.375,0,0,Ohio State,0,8.375,72,CB,0,34.5,191,0,2011,
Chinedum Ndukwe,2565,0,4.49,,0,15,0,Notre Dame,0,0,74,FS,0,37.5,206,0,2007,
Chip Vaughn,2111,4.12,4.42,,0,21,125,Wake Forest,0,0,74,SS,0,37,221,0,2009,
Chris  Borland,346,4.27,4.83,,0,27,114,Wisconsin,5.6,0,71,ILB,7.18,31,248,0,2014,
Chris  Boswell,349,0,0,,0,0,0,Rice,5.1,0,74,K,0,0,185,0,2014,
Chris  Smith,597,0,4.71,,0,28,121,Arkansas,5.3,0,73,DE,7.55,37,266,0,2014,
Chris Baker,1855,4.9,4.94,,0,24,106,,0,0,74,DT,0,35.5,326,0,2009,
Chris Baker,3786,0,4.81,,0,18,112,Michigan State,0,0,75,TE,0,35,258,0,2002,
